ExternOrderNo,SKU,OrderQty
2001806233,8904223819161.00,1
2001806233,8904223819260.00,1
2001806232,8904223818645.00,6
2001806232,8904223819147.00,2
2001806229,8904223818706.00,1
2001806229,8904223818942.00,1
2001806229,8904223818850.00,1
2001806226,8904223818850.00,2
2001806210,8904223816214.00,1
2001806210,8904223818874.00,1
